2015;;Inkomstdeklaration 4;
;;Handelsbolag;
;;;Inga ändringa i kopplingstabellen har gjorts jämfört med föregående år. 
;;;
Fält-kod;Rad Ink 4;Benämning;Konton i BAS 2014
;;;
;;BALANSRÄKNING;
;;;
;;Anläggningstillgångar;
;;;
;;Immateriella anläggningstillgångar;
7201;2.1;Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter;10xx exkl. 1088
7202;2.2;Förskott avseende immateriella anläggningstillgångar;1088
;;;
;;Materiella anläggningstillgångar;
7214;2.3;Byggnader och mark;11xx exkl. 112x, 118x
7215;2.4;Maskiner, inventarier och övriga materiella anläggningstillgångar;12xx exkl. 128x
7216;2.5;Förbättringsutgifter på annans fastighet;112x
7217;2.6;Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar;118x, 128x
;;;
;;Finansiella anläggningstillgångar;
7236;2.7;Andelar i koncern- och intresseföretag;131x, 133x
7232;2.8;Fordringar på koncern- och intresseföretag;132x, 134x
7237;2.9;Andra finansiella anläggningstillgångar;135x, 136x, 137x, 138x
;;;
;;Omsättningstillgångar;
;;;
;;Varulager;
7247;2.10;Lagertillgångar;14xx, exkl. 147x, 148x
7245;2.11;Pågående arbeten för annans räkning;147x
7246;2.12;Förskott till leverantör;148x
;;;
;;Kortfristiga fordringar;
7253;2.13;Kundfordringar;15xx, 166x, 167x
7264;2.14;Övriga fordringar;16xx, exkl.166x, 167x
7263;2.15;Förutbetalda kostnader och upplupna intäkter;17xx
;;;
;;Kortfristiga placeringar;
7272;2.16;Övriga kortfristiga placeringar;18xx
;;;
;;Kassa och bank;
7281;2.17;Kassa, bank och redovisningsmedel;19xx
;;;
;;;
;;Eget kapital;
7310;2.18;Ingående kapital;2010, 2016, 2020, 2026, 2030, 2036, 2040, 2046
7311;2.19;Delägarens nettouttag/nettotillskott;2011-2013, 2017-2018, 2021-2023, 2027-2028, 2031-2033, 2037-2038, 2041-2043, 2047-2048
7312;2.20;Årets redovisade vinst;2019, 2029, 2039, 2049
7313;2.21;Årets redovisade förlust;Om beloppet enligt rad 2.20 representerar en förlust förs det i stället till denna rad.
7314;2.22;Utgående kapital ;Summeras i blanketten
;;;
;;;
;;;
;;Obeskattade reserver och avsättningar;
;;;
;;Obeskattade reserver;
7322;2.23;Ackumulerade överavskrivningar;215x
7323;2.24;Övriga obeskattade reserver;21xx exkl. 215x
;;;
;;Avsättningar;
7331;2.25;Avsättningar för pensioner och liknande förpliktelser enligt lagen (1967:531) om tryggande av pensionsförpliktelser m.m.;221x
7332;2.26;Övriga avsättningar för pensioner och liknande förpliktelser;223x
7333;2.27;Övriga avsättningar;222x-229x exkl. 223x
;;;
;;Skulder;
;;;
;;Långfristiga skulder;
7353;2.28;Skulder till koncern- och intresseföretag;236x-237x
7355;2.29;Övriga skulder;23xx exkl. 236x-237x
;;;
;;Kortfristiga skulder;
7362;2.30;Förskott för kunder;242x
7363;2.31;Pågående arbeten för annans räkning;243x
7365;2.32;Leverantörsskulder;244x
7368;2.33;Skatteskulder;25xx
7371;2.34;Övriga skulder;241x, 245x-249x, 26xx-28xx
7370;2.35;Upplupna kostnader och förutbetalda intäkter;29xx
;;;
;;;
;;RESULTATRÄKNING;
;;;
7410;3.1;Nettoomsättning;30xx-37xx
7411;3.2;Förändring av lager av produkter i arbete, färdiga varor och pågående arbete för annans räkning;+ 49xx exkl. (4910-4931, 496x, 498x)
7510;;;– 49xx exkl. (4910-4931, 496x, 498x)
7412;3.3;Aktiverat arbete för egen räkning;38xx
7413;3.4;Övriga rörelseintäkter;39xx
7511;3.5;Råvaror och förnödenheter;40xx-47xx, 4910-4931
7512;3.6;Handelsvaror;40xx-47xx, 496x, 498x
7513;3.7;Övriga externa kostnader;50xx-69xx
7514;3.8;Personalkostnader;70xx-76xx
7515;3.9;Av- och nedskrivningar av materiella och immateriella anläggningstillgångar;77xx – 78xx exkl.774x, 779x
7535;3.10;Övriga rörelsekostnader;774x, 779x, 79xx
7414;3.11;Resultat från andelar i koncernföretag;+ 80xx exkl. (807x, 808x)
7518;;;– 80xx exkl. (807x, 808x)
7415;3.12;Resultat från andelar i intresseföretag;+ 81xx exkl. (817x, 818x)
7519;;;– 81xx exkl. (817x, 818x)
7416;3.13;Resultat från övriga finansiella anläggningstillgångar;+ 82xx exkl. (827x, 828x)
7520;;;– 82xx exkl. (827x, 828x)
7417;3.14;Övriga ränteintäkter och liknande resultatposter;83xx exkl.837x, 838x
7521;3.15;Nedskrivningar av finansiella  anläggnings-tillgångar och kortfristiga placeringar;807x, 808x, 817x, 818x, 827x, 828x, 837x, 838x
7522;3.16;Räntekostnader och liknande resultatposter;84xx
7427;3.17;Bokslutsdispositioner;+ 87xx, 88xx
7537;;;– 87xx, 88xx
7450;3.18;Årets resultat, vinst (flyttas till p. 4.1)  (+);+ 899x
7550;3.19;Årets resultat, förlust (flyttas till p. 4.2) (-);– 899x
